filename,out_stem
Саха Якутия аврес.jpg,10r-2006-respublika-sakha-yakutiya-obverse
Саха Якутия реверс.jpg.jpg,10r-2006-respublika-sakha-yakutiya-reverse
Сахалинская область аверс.jpg,10r-2006-sakhalinskaya-oblast-obverse
Сахалинская область реверс.jpg,10r-2006-sakhalinskaya-oblast-reverse
Торжок аверс.jpg.jpg,10r-2006-torzhok-obverse
Торжок реверс.jpg,10r-2006-torzhok-reverse
Читинская область аверс.jpg,10r-2006-chitinskaya-oblast-obverse
Читинская область реверс.jpg.jpg,10r-2006-chitinskaya-oblast-reverse
Азов ММД аверс.jpg.jpg,10r-2008-azov-xiii-v-mmd-obverse
Азов ММД реверс.jpg.jpg,10r-2008-azov-xiii-v-mmd-reverse
Азов СПМД аверс.jpg,10r-2008-azov-xiii-v-obverse
Азов СПМД реверс.jpg.jpg,10r-2008-azov-xiii-v-reverse
Архангельская область аверс.jpg,10r-2007-arkhangelskaya-oblast-obverse
Архангельская область реверс.jpg.jpg,10r-2007-arkhangelskaya-oblast-reverse
Владимир аверс ММД.jpg,10r-2008-vladimir-xii-v-mmd-obverse
Владимир аверс СПМД.jpg.jpg,10r-2008-vladimir-xii-v-obverse
Владимир реверс ММД.jpg,10r-2008-vladimir-xii-v-mmd-reverse
Владимир реверс СПМД.jpg.jpg,10r-2008-vladimir-xii-v-reverse
Липецкая область аверс.jpg.jpg,10r-2007-lipetskaya-oblast-obverse
Липецкая область реверс.jpg,10r-2007-lipetskaya-oblast-reverse
Новосибирск область аверс.jpg,10r-2007-novosibirskaya-oblast-obverse
Новосибирск область реверс.jpg,10r-2007-novosibirskaya-oblast-reverse
Приозерск ММД аверс.jpg,10r-2008-priozersk-leningradskaya-oblast-xii-v-mmd-obverse
Приозерск ММД реверс.jpg.jpg,10r-2008-priozersk-leningradskaya-oblast-xii-v-mmd-reverse
Приозерск СПМД аверс.jpg,10r-2008-priozersk-leningradskaya-oblast-xii-v-obverse
Приозерск СПМД реверс.jpg.jpg,10r-2008-priozersk-leningradskaya-oblast-xii-v-reverse
Республика Башкортостан аверс.jpg,10r-2007-respublika-bashkortostan-obverse
Республика Башкортостан реверс.jpg,10r-2007-respublika-bashkortostan-reverse
Республика Хакасия аверс.jpg.jpg,10r-2007-respublika-khakasiya-obverse
Республика Хакасия реверс.jpg,10r-2007-respublika-khakasiya-reverse
Ростовская область аверс.jpg,10r-2007-rostovskaya-oblast-obverse
Ростовская область реверс.jpg.jpg,10r-2007-rostovskaya-oblast-reverse
Смоленск аверс ММД.jpg.jpg,10r-2008-smolensk-ix-v-mmd-obverse
Смоленск аверс СПМД.jpg,10r-2008-smolensk-ix-v-obverse
Смоленск реверс ММД.jpg.jpg,10r-2008-smolensk-ix-v-mmd-reverse
Смоленск реверс СПМД.jpg,10r-2008-smolensk-ix-v-reverse
Астраханская область ММД аверс.png,10r-2008-astrakhanskaya-oblast-mmd-obverse
Астраханская область ММД реверс.png,10r-2008-astrakhanskaya-oblast-mmd-reverse
Астраханская область СПМД аверс.avif,10r-2008-astrakhanskaya-oblast-obverse
Астраханская область СПМД реверс.avif,10r-2008-astrakhanskaya-oblast-reverse
Великий Новгород ММД аверс .avif,10r-2009-velikiy-novgorod-obverse
Великий Новгород ММД реверс.avif,10r-2009-velikiy-novgorod-reverse
Великий Новгород СПМД аверс.avif,10r-2009-velikiy-novgorod-ix-v-obverse
Великий Новгород СПМД реверс .avif,10r-2009-velikiy-novgorod-ix-v-reverse
Выборг ММД аврес.avif,10r-2009-vyborg-obverse
Выборг ММД реверс.avif,10r-2009-vyborg-reverse
Выборг СПМД аврес.avif,10r-2009-vyborg-xiii-v-leningradskaya-oblast-obverse
Выборг СПМД реверс.avif,10r-2009-vyborg-xiii-v-leningradskaya-oblast-reverse
Галич ММД аверс.avif,10r-2009-galich-obverse
Галич ММД реверс.avif,10r-2009-galich-reverse
Галич СПМД аверс.avif,10r-2009-galich-xiii-v-kostromskaya-oblast-obverse
Галич СПМД реверс.avif,10r-2009-galich-xiii-v-kostromskaya-oblast-reverse
Еврейская автономная область ММД аврес.avif,10r-2009-evreyskaya-avtonomnaya-oblast-mmd-obverse
Еврейская автономная область ММД реверс.avif,10r-2009-evreyskaya-avtonomnaya-oblast-mmd-reverse
Еврейская автономная область СПМД аврес.avif,10r-2009-evreyskaya-avtonomnaya-oblast-obverse
Еврейская автономная область СПМД реверс.avif,10r-2009-evreyskaya-avtonomnaya-oblast-reverse
Кабардино Балкарская республика ММД аверс.avif,10r-2008-kabardino-balkarskaya-respublika-mmd-obverse
Кабардино Балкарская республика ММД реверс.avif,10r-2008-kabardino-balkarskaya-respublika-mmd-reverse
Кабардино Балкарская республика СПМД аверс.avif,10r-2008-kabardino-balkarskaya-respublika-obverse
Кабардино Балкарская республика СПМД реверс.avif,10r-2008-kabardino-balkarskaya-respublika-reverse
Калуга ММД аверес.avif,10r-2009-kaluga-obverse
Калуга ММД реверс.avif,10r-2009-kaluga-reverse
Калуга СПМД аверес.avif,10r-2009-kaluga-xiv-v-obverse
Калуга СПМД реверс.avif,10r-2009-kaluga-xiv-v-reverse
Кировская область аверс.avif,10r-2009-kirovskaya-oblast-obverse
Кировская область реверс.avif,10r-2009-kirovskaya-oblast-reverse
Республика Адыгея ММД аврес.avif,10r-2009-respublika-adygeya-mmd-obverse
Республика Адыгея ММД реверс.avif,10r-2009-respublika-adygeya-mmd-reverse
Республика Адыгея СПМД аврес.avif,10r-2009-respublika-adygeya-obverse
Республика Адыгея СПМД реверс.avif,10r-2009-respublika-adygeya-reverse
Республика Калмыкия ММД аверс.avif,10r-2009-respublika-kalmykiya-obverse
Республика Калмыкия ММД реверс.avif,10r-2009-respublika-kalmykiya-reverse
Республика Калмыкия СПМД аверс.avif,10r-2009-respublika-kalmykiya-spmd-obverse
Республика Калмыкия СПМД реверс.avif,10r-2009-respublika-kalmykiya-spmd-reverse
Свердловская область ММД аверс.avif,10r-2008-sverdlovskaya-oblast-mmd-obverse
Свердловская область ММД реверс.avif,10r-2008-sverdlovskaya-oblast-mmd-reverse
Свердловская область СПМД аверс.avif,10r-2008-sverdlovskaya-oblast-obverse
Свердловская область СПМД реверс.avif,10r-2008-sverdlovskaya-oblast-reverse
Удмуртская область ММД аверс.avif,10r-2008-udmurtskaya-respublika-mmd-obverse
Удмуртская область ММД реверс.avif,10r-2008-udmurtskaya-respublika-mmd-reverse
Удмуртская область СПМД аверс.avif,10r-2008-udmurtskaya-respublika-obverse
Удмуртская область СПМД реверс.avif,10r-2008-udmurtskaya-respublika-reverse
